Epoch	Train loss	Validation loss
29901	0.00010760550503619015	0.00016492334543727338
29902	8.202461322071031e-05	0.0001661448914092034
29903	8.841133239911869e-05	0.00015896745026111603
29904	8.723301289137453e-05	0.00014929805183783174
29905	0.00010099937935592607	0.0001511742448201403
29906	0.00011082888522651047	0.00017115275841206312
29907	0.00012798451643902808	0.00016957923071458936
29908	0.00010221768025076017	0.00015229106065817177
29909	0.00011894780618604273	0.0001533734903205186
29910	7.595744682475924e-05	0.0001606832374818623
29911	8.7851301941555e-05	0.00016045544180087745
29912	7.996964995982125e-05	0.00015558199083898216
29913	7.954197644721717e-05	0.00015680673823226243
29914	8.709225221537054e-05	0.0001600910327397287
29915	8.85313784237951e-05	0.00016176089411601424
29916	7.99843983259052e-05	0.0001586294820299372
29917	7.670988270547241e-05	0.0001566795544931665
29918	7.014386937953532e-05	0.00015614517906215042
29919	7.255021773744375e-05	0.00015886961773503572
29920	7.568144064862281e-05	0.00015947451174724847
29921	7.468357944162562e-05	0.00015954076661728323
29922	8.145778701873496e-05	0.00015486025949940085
29923	7.779873703839257e-05	0.00015508286014664918
29924	7.664415898034349e-05	0.00016593674081377685
29925	7.663850556127727e-05	0.00017244215996470302
29926	7.840993930585682e-05	0.00016986884293146431
29927	8.262231858680025e-05	0.00016314801177941263
29928	7.915916648926213e-05	0.00015191486454568803
29929	8.51596487336792e-05	0.0001511375157861039
29930	8.497613453073427e-05	0.00015613036521244794
29931	8.425702253589407e-05	0.0001735925325192511
29932	8.425798296229914e-05	0.00018562868353910744
29933	0.0001022463184199296	0.00017891943571157753
29934	8.230682578869164e-05	0.00016488760593347251
29935	8.578376582590863e-05	0.0001465405075578019
29936	0.0001019712071865797	0.00014264787023421377
29937	0.00011011557944584638	0.00014998578990343958
29938	7.57327870815061e-05	0.0001666068274062127
29939	7.868261309340596e-05	0.0001767140784068033
29940	9.445637988392264e-05	0.00017464463599026203
29941	0.0001047417099471204	0.00015705447003711015
29942	8.116630488075316e-05	0.0001497580815339461
29943	9.910853259498253e-05	0.00015537586295977235
29944	9.188753028865904e-05	0.0001648680045036599
29945	0.00011317252210574225	0.00015716686903033406
29946	7.925368845462799e-05	0.00015293766045942903
29947	9.198245970765129e-05	0.00015958162839524448
29948	8.083052671281621e-05	0.00016559302457608283
29949	8.444665581919253e-05	0.00016381520254071802
29950	8.504621655447409e-05	0.0001558110525365919
29951	6.343788845697418e-05	0.00015097632422111928
29952	8.478481322526932e-05	0.000150857784319669
29953	9.450934157939628e-05	0.0001622283598408103
29954	7.620055112056434e-05	0.0001687028561718762
29955	7.292070222320035e-05	0.0001712147641228512
29956	7.736383122391999e-05	0.00016938333283178508
29957	7.131253369152546e-05	0.00016355872503481805
29958	6.882495654281229e-05	0.00015715409244876355
29959	7.257588731590658e-05	0.00015212777361739427
29960	7.695912790950388e-05	0.00015482798335142434
29961	7.54463326302357e-05	0.00016111720469780266
29962	7.589292363263667e-05	0.00015866855392232537
29963	7.459795597242191e-05	0.0001549912558402866
29964	7.782509055687115e-05	0.00015834103396628052
29965	6.977286102483049e-05	0.00016268383478745818
29966	7.347115752054378e-05	0.00015883322339504957
29967	7.233953510876745e-05	0.0001548970612930134
29968	8.105440065264702e-05	0.00015614005678799003
29969	7.963411917444319e-05	0.00016079944907687604
29970	7.361499592661858e-05	0.00016203238919842988
29971	7.117587665561587e-05	0.0001586048601893708
29972	6.968100205995142e-05	0.0001569798041600734
29973	6.988270615693182e-05	0.00016059022163972259
29974	7.24322089808993e-05	0.00016114983009174466
29975	7.004912185948342e-05	0.00015857857943046838
29976	7.131366146495566e-05	0.00015567257651127875
29977	7.549575093435124e-05	0.0001560648815939203
29978	6.842736183898523e-05	0.0001590981992194429
29979	7.243460277095437e-05	0.00016560094081796706
29980	8.069767500273883e-05	0.00016389611118938774
29981	9.19123922358267e-05	0.00015265188994817436
29982	8.325459930347279e-05	0.00014905307034496218
29983	9.311510075349361e-05	0.00015323373372666538
29984	7.282513251993805e-05	0.00016018708993215114
29985	7.682164141442627e-05	0.00016591574240010232
29986	8.40037755551748e-05	0.00016607991710770875
29987	7.082038064254448e-05	0.00016042763309087604
29988	8.301933848997578e-05	0.0001542086829431355
29989	7.625555736012757e-05	0.00015185680240392685
29990	8.639884617878124e-05	0.00015849745250307024
29991	6.924180343048647e-05	0.00016206390864681453
29992	8.48775016493164e-05	0.00015404963050968945
29993	7.69528778619133e-05	0.0001530479348730296
29994	7.604309939779341e-05	0.0001582619734108448
29995	8.095386147033423e-05	0.00017023374675773084
29996	7.762156747048721e-05	0.00017341040074825287
29997	9.651976870372891e-05	0.00016083649825304747
29998	9.622922516427934e-05	0.0001445171219529584
29999	0.00010594896593829617	0.0001420767221134156
30000	0.00011019989324267954	0.00014849928265903145
