Epoch	Train loss	Validation loss
29901	6.671417941106483e-05	0.0001704367168713361
29902	0.00018604953947942704	0.0001678103144513443
29903	9.313429472967982e-05	0.000161746924277395
29904	0.00014894698688294739	0.00015778228407725692
29905	8.86198686202988e-05	0.0001575013593537733
29906	0.00010099757491843775	0.00015499143046326935
29907	0.00011052878107875586	0.0001525666011730209
29908	0.0001267581683350727	0.00015416981477756053
29909	0.00010632675548549742	0.00015905893815215677
29910	0.00010946066322503611	0.00016202847473323345
29911	8.923129644244909e-05	0.0001613813656149432
29912	7.681050192331895e-05	0.00016230245819315314
29913	9.759615932125598e-05	0.00016314293316099793
29914	6.782248237868771e-05	0.00016283841978292912
29915	8.898965461412445e-05	0.00015915872063487768
29916	6.267930439207703e-05	0.00015553634148091078
29917	9.001052239909768e-05	0.0001550053566461429
29918	6.430822395486757e-05	0.00015601157792843878
29919	9.981212497223169e-05	0.00015622256614733487
29920	7.911418651929125e-05	0.00015608215471729636
29921	7.31759937480092e-05	0.00015756915672682226
29922	7.435405132127926e-05	0.00016053534636739641
29923	7.13090121280402e-05	0.00016337144188582897
29924	8.20726781967096e-05	0.00016473689174745232
29925	7.843768980819732e-05	0.00016552615852560848
29926	7.057705806801096e-05	0.00016429847164545208
29927	6.292385660344735e-05	0.00016174621123354882
29928	7.701702270423993e-05	0.00015824008733034134
29929	7.844102219678462e-05	0.00015452054503839463
29930	8.116625394904986e-05	0.00015230353164952248
29931	8.054566569626331e-05	0.00015171265113167465
29932	6.83457765262574e-05	0.00015341110702138394
29933	6.021966692060232e-05	0.00015682123193982989
29934	7.432162965415046e-05	0.00016083157970570028
29935	7.993177860043943e-05	0.0001592921034898609
29936	6.297792424447834e-05	0.00015724904369562864
29937	6.76676572766155e-05	0.00015670974971726537
29938	8.23357404442504e-05	0.00015720904048066586
29939	7.1646565629635e-05	0.00015870339120738208
29940	6.924309127498418e-05	0.0001588169252499938
29941	7.670638296985999e-05	0.00015897845150902867
29942	9.060373122338206e-05	0.0001609746104804799
29943	7.861585618229583e-05	0.00016098437481559813
29944	6.620487692998722e-05	0.0001569705200381577
29945	7.165392162278295e-05	0.00015560814063064754
29946	7.549751899205148e-05	0.0001549207663629204
29947	9.052395034814253e-05	0.00016601193055976182
29948	7.56471126805991e-05	0.00017496710643172264
29949	9.180426422972232e-05	0.00017729141109157354
29950	8.893691847333685e-05	0.00017329372349195182
29951	9.004989988170564e-05	0.000166292316862382
29952	8.927327871788293e-05	0.00015843022265471518
29953	8.441013778792694e-05	0.00015022119623608887
29954	8.505336154485121e-05	0.00015062805323395878
29955	7.754226680845022e-05	0.00015518497093580663
29956	8.019635424716398e-05	0.00016558024799451232
29957	9.27780129131861e-05	0.00016818988660816103
29958	8.336557948496193e-05	0.00016548906569369137
29959	8.758441254030913e-05	0.00016099432832561433
29960	8.265134965768084e-05	0.0001568635634612292
29961	8.082745625870302e-05	0.00015414883091580123
29962	8.405136031797156e-05	0.00015970226377248764
29963	0.00010256560199195519	0.00015386998711619526
29964	6.257523637032136e-05	0.0001511638256488368
29965	0.00010386916983406991	0.00015583861386403441
29966	7.461007044184953e-05	0.00016565859550610185
29967	8.938599785324186e-05	0.00017093407223001122
29968	8.441670070169494e-05	0.0001740167645039037
29969	7.660426490474492e-05	0.00017015090270433575
29970	7.582114631077275e-05	0.0001610504841664806
29971	7.975205517141148e-05	0.00015522718604188412
29972	8.798963972367346e-05	0.0001576203794684261
29973	7.425659714499488e-05	0.0001669850607868284
29974	7.910529529908672e-05	0.00017436995403841138
29975	7.266415923368186e-05	0.00017633129027672112
29976	7.884755177656189e-05	0.00017298213788308203
29977	7.177799125202e-05	0.00016608501027803868
29978	7.232615462271497e-05	0.0001583902194397524
29979	6.0497612139442936e-05	0.00015418978000525385
29980	6.540668982779607e-05	0.0001536584022687748
29981	8.654443081468344e-05	0.00015514712140429765
29982	6.563897477462888e-05	0.00015938881551846862
29983	6.865334580652416e-05	0.00016594793123658746
29984	7.571815513074398e-05	0.0001700747961876914
29985	6.931780080776662e-05	0.00016976188635453582
29986	8.002813410712406e-05	0.00016601919196546078
29987	8.332861762028188e-05	0.00015685311518609524
29988	6.615692836930975e-05	0.00015153206186369061
29989	7.414545689243823e-05	0.00015158568567130715
29990	7.68188911024481e-05	0.00015688045823480934
29991	7.974469190230593e-05	0.00016445702931378037
29992	7.694915257161483e-05	0.0001720277505228296
29993	7.526774425059557e-05	0.00017583272710908204
29994	7.349360384978354e-05	0.0001727836497593671
29995	7.374452252406627e-05	0.0001674839440966025
29996	6.405144813470542e-05	0.00016304939344990999
29997	6.828075856901705e-05	0.0001598410599399358
29998	7.965396071085706e-05	0.0001567140716360882
29999	5.9754314861493185e-05	0.00015555263962596655
30000	6.467156345024705e-05	0.000157073067384772
