Epoch	Train loss	Validation loss
29501	4.551882011583075e-05	0.00016733827942516655
29502	4.045596142532304e-05	0.00015806901501491666
29503	4.430943954503164e-05	0.00015680819342378527
29504	4.7605830332031474e-05	0.00016365777992177755
29505	3.883599492837675e-05	0.00016615346248727292
29506	4.023544897790998e-05	0.00015952042303979397
29507	3.897106580552645e-05	0.000158469527377747
29508	4.00506796722766e-05	0.0001634271175134927
29509	4.3021078454330564e-05	0.00016359283472411335
29510	4.857040039496496e-05	0.0001583502598805353
29511	3.475484118098393e-05	0.00016011230763979256
29512	4.705088213086128e-05	0.00016358145512640476
29513	4.131340028834529e-05	0.00016369439254049212
29514	4.200315015623346e-05	0.00016047523240558803
29515	4.9203630624106154e-05	0.0001590192987350747
29516	4.2914900404866785e-05	0.00016283179866150022
29517	4.030642958241515e-05	0.0001648978068260476
29518	4.280883877072483e-05	0.0001600393297849223
29519	4.0115683077601716e-05	0.00016070630226749927
29520	4.492638981901109e-05	0.00016579437942709774
29521	4.4348631490720436e-05	0.000164969518664293
29522	4.036844984511845e-05	0.0001601425465196371
29523	4.735307447845116e-05	0.00016182902618311346
29524	3.597795875975862e-05	0.00016381598834414035
29525	4.2515574023127556e-05	0.0001620309049030766
29526	4.1106912249233574e-05	0.00016141284140758216
29527	3.420379289309494e-05	0.00016224039427470416
29528	4.326957423472777e-05	0.0001614281500224024
29529	4.2849878809647635e-05	0.00016403853078372777
29530	4.887406248599291e-05	0.00016380743181798607
29531	3.819189078058116e-05	0.0001586232683621347
29532	4.425778752192855e-05	0.00015765523130539805
29533	3.984335489803925e-05	0.00016390408563893288
29534	4.315687692724168e-05	0.0001659609843045473
29535	3.6283177905716e-05	0.000163854390848428
29536	4.062857260578312e-05	0.00015658176562283188
29537	3.654844840639271e-05	0.00015747357974760234
29538	4.2723255319288e-05	0.0001639806287130341
29539	4.099149737157859e-05	0.00016523584781680256
29540	3.882354576489888e-05	0.0001609436731087044
29541	3.943053525290452e-05	0.00015909757348708808
