Epoch	Train loss	Validation loss
29901	6.217513873707503e-05	0.0001665081363171339
29902	6.743348785676062e-05	0.00016732966469135135
29903	6.502768519567326e-05	0.000167718026204966
29904	6.459835276473314e-05	0.00016614780179224908
29905	6.917664723005146e-05	0.00017334437870886177
29906	7.372906839009374e-05	0.00017912349721882492
29907	7.909334090072662e-05	0.00016873324057087302
29908	7.13278423063457e-05	0.00015955684648361057
29909	6.9027031713631e-05	0.0001653242507018149
29910	6.476171256508678e-05	0.00017602424486540258
29911	7.459244807250798e-05	0.0001756255078362301
29912	6.656528421444818e-05	0.0001681241556070745
29913	6.517973088193685e-05	0.00016606281860731542
29914	7.156380161177367e-05	0.00016858987510204315
29915	6.420622230507433e-05	0.00016919766494538635
29916	8.107384928734973e-05	0.0001665481540840119
29917	7.27002989151515e-05	0.0001693789236014709
29918	6.515069981105626e-05	0.00017378039774484932
29919	7.080145587678999e-05	0.00017087992455344647
29920	6.552270497195423e-05	0.00016665241855662316
29921	6.335483340080827e-05	0.00016522892110515386
29922	6.537121953442693e-05	0.00016802317986730486
29923	6.270054291235283e-05	0.00017494946951046586
29924	6.657215271843597e-05	0.0001723777095321566
29925	6.324046262307093e-05	0.00016761428560130298
29926	5.643291297019459e-05	0.00016842750483192503
29927	6.396647950168699e-05	0.0001729212235659361
29928	6.099870370235294e-05	0.0001712633966235444
29929	7.512609590776265e-05	0.00016763541498221457
29930	7.00231030350551e-05	0.00017022471001837403
29931	6.543585186591372e-05	0.0001739086292218417
29932	7.288078631972894e-05	0.00017187352932523936
29933	7.132937025744468e-05	0.00016741103900130838
29934	7.240925333462656e-05	0.00016538173076696694
29935	8.37052648421377e-05	0.00017062205006368458
29936	6.896330887684599e-05	0.0001772318355506286
29937	6.808096077293158e-05	0.00017569582269061357
29938	9.113322448683903e-05	0.00016958526975940913
29939	7.496997568523511e-05	0.00016847260121721774
29940	6.696576019749045e-05	0.00016965037502814084
29941	9.749487799126655e-05	0.00017004043911583722
29942	9.187716932501644e-05	0.00016891999985091388
29943	7.375288259936497e-05	0.00017163831216748804
29944	0.00010380140884080902	0.0001773186377249658
29945	0.00010382261825725436	0.00017590179049875587
29946	7.522279338445514e-05	0.000165187448146753
29947	0.0001320980954915285	0.00015990827523637563
29948	7.690316851949319e-05	0.00016684077854733914
29949	9.081415191758424e-05	0.00017772128921933472
29950	9.647696424508467e-05	0.00017668301006779075
29951	8.125088788801804e-05	0.00017014557670336217
29952	0.00010846498480532318	0.00016744127788115293
29953	8.73366225278005e-05	0.00016575722838751972
29954	0.00010849555837921798	0.0001680061686784029
29955	0.00010040313645731658	0.00017342962382826954
29956	8.356691978406161e-05	0.00017465068958699703
29957	0.0001224422303494066	0.00017253596161026508
29958	7.181568798841909e-05	0.0001690773933660239
29959	7.949396967887878e-05	0.00016580658848397434
29960	8.270503167295828e-05	0.00016602504183538258
29961	6.74071125104092e-05	0.00017247538198716938
29962	9.525674249744043e-05	0.00017622372251935303
29963	7.092584564816207e-05	0.00017341748753096908
29964	7.866226223995909e-05	0.0001664324663579464
29965	8.042475383263081e-05	0.00016374146798625588
29966	8.316581806866452e-05	0.00016693923680577427
29967	7.77670502429828e-05	0.00017433255561627448
29968	8.328707190230489e-05	0.00017022975953295827
29969	7.37437658244744e-05	0.0001671923673711717
29970	6.24343374511227e-05	0.00017195128020830452
29971	7.559674850199372e-05	0.0001755654375301674
29972	6.991721602389589e-05	0.00017292474512942135
29973	6.983992352616042e-05	0.0001685113093117252
29974	7.47063459130004e-05	0.0001682500442257151
29975	6.327642040560022e-05	0.0001757901336532086
29976	7.52911510062404e-05	0.0001763961190590635
29977	6.777729140594602e-05	0.00016949191922321916
29978	7.312172965612262e-05	0.00016416881408076733
29979	6.886971823405474e-05	0.00016934714221861213
29980	7.013984577497467e-05	0.00017865105473902076
29981	7.026989624137059e-05	0.00017657860007602721
29982	7.511449075536802e-05	0.00016687304014340043
29983	8.200417505577207e-05	0.00016412459081038833
29984	6.456552364397794e-05	0.00017230511002708226
29985	7.89124023867771e-05	0.00017624857719056308
29986	8.370923023903742e-05	0.00016727585170883685
29987	8.411303861066699e-05	0.00016473280265927315
29988	9.863900777418166e-05	0.00016907232929952443
29989	6.782158015994355e-05	0.00017106259474530816
29990	7.007935346337035e-05	0.0001655922387726605
29991	6.532508268719539e-05	0.00016642321133986115
29992	6.59076395095326e-05	0.0001731533120619133
29993	6.480936281150207e-05	0.00017315328295808285
29994	6.369514449033886e-05	0.00016753065574448556
29995	6.701692473143339e-05	0.0001675267849350348
29996	6.106462387833744e-05	0.00017276506696362048
29997	6.563572242157534e-05	0.00017169084458146244
29998	5.8337369409855455e-05	0.00016982899978756905
29999	5.9140023950021714e-05	0.00016957092157099396
30000	6.318923988146707e-05	0.0001729786890791729
