method,run_name,run_index,epoch,pc1,pc2,pc3
standard,2026-05-09-00_24_28,1,0,0.00861507561057806,0.18825989961624146,-7.6312408447265625
standard,2026-05-09-00_24_28,1,15000,9.62196159362793,10.001168251037598,4.173384189605713
standard,2026-05-09-00_24_28,1,30000,9.65352725982666,10.025989532470703,4.2279534339904785
standard,2026-05-09-00_35_24,2,0,0.189697265625,0.273958683013916,-7.908603191375732
standard,2026-05-09-00_35_24,2,15000,-14.372472763061523,3.097966194152832,3.9899492263793945
standard,2026-05-09-00_35_24,2,30000,-14.44388198852539,3.112797498703003,4.052812099456787
standard,2026-05-09-00_46_10,3,0,0.21598239243030548,0.16075921058654785,-7.70707893371582
standard,2026-05-09-00_46_10,3,15000,4.039653778076172,-13.353912353515625,3.4233670234680176
standard,2026-05-09-00_46_10,3,30000,4.06429386138916,-13.457728385925293,3.493393898010254
pcgrad,2026-05-09-00_24_28,1,0,0.00861507561057806,0.18825989961624146,-7.6312408447265625
pcgrad,2026-05-09-00_24_28,1,15000,9.951677322387695,10.510812759399414,4.55904483795166
pcgrad,2026-05-09-00_24_28,1,30000,10.040130615234375,10.600238800048828,4.67806339263916
pcgrad,2026-05-09-00_36_42,2,0,0.189697265625,0.273958683013916,-7.908603191375732
pcgrad,2026-05-09-00_36_42,2,15000,-14.33299446105957,3.080289840698242,3.8677456378936768
pcgrad,2026-05-09-00_36_42,2,30000,-14.494504928588867,3.125537395477295,3.955132484436035
pcgrad,2026-05-09-00_48_13,3,0,0.21598239243030548,0.16075921058654785,-7.70707893371582
pcgrad,2026-05-09-00_48_13,3,15000,4.042844295501709,-13.536235809326172,3.7062463760375977
pcgrad,2026-05-09-00_48_13,3,30000,4.087829113006592,-13.624338150024414,3.759187936782837
config,2026-05-09-00_24_28,1,0,0.00861507561057806,0.18825989961624146,-7.6312408447265625
config,2026-05-09-00_24_28,1,15000,9.96645736694336,10.592544555664062,4.178869247436523
config,2026-05-09-00_24_28,1,30000,10.060443878173828,10.711796760559082,4.261682510375977
config,2026-05-09-00_37_21,2,0,0.189697265625,0.273958683013916,-7.908603191375732
config,2026-05-09-00_37_21,2,15000,-14.34993839263916,3.012941360473633,3.9003994464874268
config,2026-05-09-00_37_21,2,30000,-14.362847328186035,3.0179457664489746,3.921114683151245
config,2026-05-09-00_49_27,3,0,0.21598239243030548,0.16075921058654785,-7.70707893371582
config,2026-05-09-00_49_27,3,15000,4.251143932342529,-13.607982635498047,3.7996606826782227
config,2026-05-09-00_49_27,3,30000,4.28009557723999,-13.668999671936035,3.8435940742492676
mconfig,2026-05-09-00_24_28,1,0,0.00861507561057806,0.18825989961624146,-7.6312408447265625
mconfig,2026-05-09-00_24_28,1,15000,9.386731147766113,9.747532844543457,3.227919101715088
mconfig,2026-05-09-00_24_28,1,30000,9.422231674194336,9.789661407470703,3.2565066814422607
mconfig,2026-05-09-00_32_12,2,0,0.189697265625,0.273958683013916,-7.908603191375732
mconfig,2026-05-09-00_32_12,2,15000,-13.403761863708496,2.984102725982666,3.342334747314453
mconfig,2026-05-09-00_32_12,2,30000,-13.454105377197266,3.0023915767669678,3.400811195373535
mconfig,2026-05-09-00_40_01,3,0,0.21598239243030548,0.16075921058654785,-7.70707893371582
mconfig,2026-05-09-00_40_01,3,15000,4.349165916442871,-13.81100082397461,3.9722671508789062
mconfig,2026-05-09-00_40_01,3,30000,4.339141368865967,-13.845434188842773,3.996257781982422
