problem,method,converged,iterations,x_star,f_star,minimizer_error,value_error,interval_left,interval_right
Q2(a),golden_section,True,8,0.257354213752,-1.12489183108,0.007354213752,0.00010816891982,0.2360679775,0.278640450004
Q2(a),fibonacci,True,8,0.218181818182,-1.12297520661,0.0318181818182,0.00202479338843,0.2,0.236363636364
Q2(a),bisection,True,3,0.25,-1.125,0,0,0,0.5
Q2(a),shubert_piyavskii,True,10,0.265702110298,-1.12450688746,0.0157021102981,0.000493112535628,-1,1
Q2(b),golden_section,True,12,3.60863059357,-39.8797765386,0.00863059356861,0.000223461436043,3.56981034338,3.64745084376
Q2(b),fibonacci,True,13,3.58606557377,-39.8794174953,0.0139344262295,0.00058250470304,3.56557377049,3.60655737705
Q2(b),bisection,True,8,3.61328125,-39.8794708252,0.01328125,0.00052917480469,3.515625,3.7109375
Q2(b),shubert_piyavskii,True,44,3.64205168461,-39.8746949675,0.0420516846143,0.0053050325367,0,25
