run_a,run_b,parameter_l2_distance,parameter_cosine_similarity,prediction_mse,test_mse_run_a,test_mse_run_b
2026-05-09-00_24_28,2026-05-09-00_35_24,26.49199677,-0.003578621428,1.141830944e-05,0.00017297882,0.0001522244711
2026-05-09-00_24_28,2026-05-09-00_46_10,26.01351357,0.01701290719,1.375232114e-05,0.00017297882,0.0001787812507
2026-05-09-00_35_24,2026-05-09-00_46_10,26.13223839,0.01093652379,1.43503039e-05,0.0001522244711,0.0001787812507
