Epoch	Train loss	Validation loss
29501	0.0013251478085294366	0.00016397840227000415
29502	0.0013411371037364006	0.00016609049635007977
29503	0.001329689985141158	0.0001698555424809456
29504	0.001332733198069036	0.00016636609507258981
29505	0.001336354878731072	0.00016522554506082088
29506	0.0013343550963327289	0.0001693806698312983
29507	0.0013387344079092145	0.00017073212075047195
29508	0.0013249784242361784	0.00017208370263688266
29509	0.0013300045393407345	0.00016971687728073448
29510	0.0013480226043611765	0.00017320300685241818
29511	0.0013573071919381618	0.00017240822489839047
29512	0.0013414770364761353	0.00016933820734266192
29513	0.0013394644483923912	0.00017109356122091413
29514	0.0013322335435077548	0.00017451957683078945
29515	0.001343240262940526	0.00017113122157752514
29516	0.0013312440132722259	0.00016848593077156693
29517	0.001345102908089757	0.00016561152006033808
29518	0.0013512209989130497	0.00016599097580183297
29519	0.0013436274603009224	0.0001689785858616233
29520	0.001342089381068945	0.00016828901425469667
29521	0.0013631237670779228	0.00016500509809702635
29522	0.0013492748839780688	0.00016631261678412557
29523	0.0013432778650894761	0.00016943714581429958
29524	0.0013623341219499707	0.0001686801406322047
29525	0.001331069739535451	0.00016672159836161882
29526	0.0013547609560191631	0.00016782319289632142
29527	0.0013545571127906442	0.0001684334856690839
29528	0.0013334492687135935	0.00016788030916359276
29529	0.0013473860453814268	0.0001680149434832856
29530	0.001330696977674961	0.00017124402802437544
29531	0.0013513737358152866	0.00017432027379982173
29532	0.0013584996340796351	0.00017024412227328867
29533	0.0013269587652757764	0.000167627222253941
29534	0.0013561423402279615	0.00017259821470361203
29535	0.0013311097864061594	0.00017336325254291296
29536	0.00135493790730834	0.00016733977827243507
29537	0.001403819303959608	0.00016842798504512757
29538	0.0013352073729038239	0.00017050367023330182
29539	0.0013600895181298256	0.00016997121565509588
29540	0.00137180311139673	0.00016792718088254333
29541	0.001334133674390614	0.00017184100579470396
29542	0.0014173636445775628	0.00017159823619294912
29543	0.001373916631564498	0.00016429024981334805
29544	0.0013352761743590236	0.0001626484008738771
29545	0.0013922007055953145	0.0001707035262370482
29546	0.0013509171549230814	0.00017577111430000514
29547	0.001393002225086093	0.0001632618368603289
29548	0.0013444332871586084	0.00015895417891442776
29549	0.0014609843492507935	0.0001665451272856444
29550	0.001372972852550447	0.00017671030946075916
29551	0.0014139920240268111	0.0001795379357645288
29552	0.0015382854035124183	0.0001637277309782803
29553	0.00136176694650203	0.0001672163634793833
29554	0.001506180502474308	0.00017358831246383488
29555	0.0014357633190229535	0.00018479980644769967
29556	0.0014084508875384927	0.00018137562437914312
29557	0.0015224238159134984	0.00018628715770319104
29558	0.0013648102758452296	0.00019693397916853428
29559	0.0014192969538271427	0.0001953477185452357
29560	0.0014020873932167888	0.00019550431170500815
29561	0.001343903481028974	0.00019800693553406745
29562	0.001467229682020843	0.00020313273125793785
29563	0.0013775717234238982	0.00020541768753901124
29564	0.001368116121739149	0.00020354994921945035
29565	0.00139806664083153	0.00019420050375629216
29566	0.001339609851129353	0.00019679736578837037
29567	0.001380793983116746	0.00020633141684811562
29568	0.0013523435918614268	0.00020791344286408275
29569	0.0013495015446096659	0.0001954459585249424
29570	0.001342513132840395	0.00018558344163466245
29571	0.0013556627091020346	0.00018687181000132114
29572	0.0014076792867854238	0.0001909993588924408
29573	0.0013462263159453869	0.00018606084631755948
29574	0.0013674901565536857	0.0001820130564738065
29575	0.0013750598300248384	0.00017871968157123774
29576	0.0013316965196281672	0.00017572972865309566
29577	0.0014060905668884516	0.00017247926734853536
29578	0.0013448878889903426	0.000168814483913593
29579	0.0013774437829852104	0.0001686489413259551
29580	0.0013654243666678667	0.00017124721489381045
29581	0.0013490921119228005	0.0001698499108897522
29582	0.001373223029077053	0.00016521918587386608
29583	0.0013312664814293385	0.00016226808656938374
29584	0.001348969992250204	0.00016556773334741592
29585	0.0013466889504343271	0.00017040816601365805
29586	0.0013380736345425248	0.00016824751219246536
29587	0.0013577928766608238	0.00016475572192575783
29588	0.0013294249074533582	0.0001702228473732248
29589	0.0013723904266953468	0.0001781311584636569
29590	0.0013413705164566636	0.00017342489445582032
29591	0.001346052624285221	0.00016923184739425778
29592	0.0013511020224541426	0.00017158214177470654
29593	0.0013413133565336466	0.0001766277418937534
29594	0.0013822444016113877	0.0001767140201991424
29595	0.0013421963667497039	0.00017319175822194666
29596	0.0013460582122206688	0.00016604857228230685
29597	0.0013730318751186132	0.00016543023230042309
29598	0.0013380044838413596	0.00017402101366315037
29599	0.001362669630907476	0.0001776088320184499
29600	0.0013534538447856903	0.00017327448586001992
29601	0.00135823676828295	0.0001735533878672868
29602	0.0013589211739599705	0.00017384608509019017
29603	0.0013491889694705606	0.00017082168778870255
29604	0.0013540425570681691	0.0001700612046988681
29605	0.0013362179743126035	0.0001726411428535357
29606	0.0013433441054075956	0.00017533435311634094
29607	0.0013737139524891973	0.0001695585815468803
29608	0.001341066905297339	0.0001675222592893988
29609	0.0013511768775060773	0.00016687710012774915
29610	0.0013412230182439089	0.00016369471268262714
29611	0.001348152756690979	0.00016058598703239113
29612	0.0013469611294567585	0.0001670306082814932
29613	0.001337497727945447	0.00017852186283562332
29614	0.0013441265327855945	0.00017009864677675068
29615	0.001346566597931087	0.00015672642621211708
29616	0.0013404858764261007	0.0001596490474184975
29617	0.0013448932440951467	0.00017274699348490685
29618	0.001352126942947507	0.00017404422396793962
29619	0.0013377962168306112	0.00016581476666033268
29620	0.0013356212293729186	0.00016281238640658557
29621	0.0013384894700720906	0.00016364484326913953
29622	0.0013435205910354853	0.00016550520376767963
29623	0.001332013518549502	0.00016799810691736639
29624	0.0013439138419926167	0.0001682220317889005
29625	0.001342578325420618	0.00017060460231732577
29626	0.001334504340775311	0.00016915945161599666
29627	0.0013285528402775526	0.00016362915630452335
29628	0.0013434470165520906	0.00015932567475829273
29629	0.0013448185054585338	0.00016426104411948472
